Year,SERIES,UNIT_MEASURE,Sex,Type of skill,AGE,Degree of urbanisation,Value
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,_T,Rural,5.2
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,_T,Rural,1.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,_T,Rural,1.3
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,_T,Rural,6.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,_T,Rural,2.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,_T,Rural,6.1
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,_T,Rural,3.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,_T,Urban,5.3
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,_T,Urban,6.0
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Doing a formal online course,_T,Urban,6.2
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,_T,Urban,4.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,_T,Urban,4.3
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Doing a formal online course,_T,Urban,7.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,_T,Urban,5.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,_T,Urban,8.0
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Doing a formal online course,_T,Urban,5.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,56.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,73.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,56.5
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,67.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,67.0
2022,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,75.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,All areas,70.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,All areas,56.6
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,All areas,73.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,All areas,55.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,All areas,65.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,All areas,65.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,All areas,67.1
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,All areas,56.4
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,All areas,72.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,All areas,57.5
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,All areas,68.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,All areas,68.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,All areas,73.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Rural,56.4
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Rural,71.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Rural,55.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Rural,65.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Rural,67.0
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Rural,66.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Rural,54.8
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Rural,69.7
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Rural,55.1
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Rural,62.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Rural,65.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Rural,63.5
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Rural,58.0
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Rural,72.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Rural,55.8
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Rural,68.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Rural,69.0
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Rural,69.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Urban,56.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Urban,74.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Urban,57.9
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Urban,69.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Urban,67.0
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Getting information about goods or services online,_T,Urban,74.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Urban,58.6
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Urban,77.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Urban,56.2
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Urban,70.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Urban,66.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Getting information about goods or services online,_T,Urban,71.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Urban,54.4
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Urban,71.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Urban,60.0
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Urban,69.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Urban,67.6
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Getting information about goods or services online,_T,Urban,78.1
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,All areas,13.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,All areas,19.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,All areas,25.9
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,All areas,24.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,All areas,31.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,All areas,13.1
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,All areas,18.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,All areas,19.5
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,All areas,24.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,All areas,36.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,All areas,14.3
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,All areas,20.4
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,All areas,32.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,All areas,25.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,All areas,27.2
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Rural,11.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Rural,16.7
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Rural,23.2
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Rural,22.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Rural,32.7
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Rural,10.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Rural,15.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Rural,20.8
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Rural,37.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Rural,12.6
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Rural,17.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Rural,72.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Rural,30.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Rural,23.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Rural,27.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Urban,16.0
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Urban,22.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Urban,29.2
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Urban,27.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Purchasing or ordering goods or services using the Internet,_T,Urban,30.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Urban,15.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Urban,22.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Urban,23.8
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Urban,28.4
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Purchasing or ordering goods or services using the Internet,_T,Urban,34.6
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Urban,16.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Urban,23.0
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Urban,35.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Urban,26.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Purchasing or ordering goods or services using the Internet,_T,Urban,27.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,49.6
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,51.4
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,35.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,41.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,58.8
2022,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,55.5
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,57.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,52.5
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,53.7
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,35.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,43.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,59.8
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,57.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,46.6
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,48.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,35.8
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,39.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,57.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,All areas,57.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,49.8
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,47.4
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,32.1
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,41.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,59.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,54.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,51.3
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,47.8
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,30.1
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,42.9
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,59.9
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,53.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,48.4
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,46.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,34.0
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,40.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,58.2
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Rural,54.9
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,49.3
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,55.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,40.2
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,41.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,58.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,61.1
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,53.7
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,60.1
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,41.6
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,44.7
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,59.7
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,62.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,44.3
2018,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,50.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,38.4
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,38.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,57.0
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Seeking health information (on injury, disease, nutrition, etc.)",_T,Urban,60.0
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Connecting and installing new devices,_T,All areas,12.3
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Connecting and installing new devices,_T,All areas,14.3
