Year,SERIES,UNIT_MEASURE,Пол,Врста вјештина,Године,Степен урбанизације,Value
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,44.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,60.8
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,56.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,6.9
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,49.8
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,38.9
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,40.5
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,58.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",25 до 74 година,Сва подручја,56.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Повезивање и инсталирање нових уређаја,25 до 74 година,Сва подручја,11.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Повезивање и инсталирање нових уређаја,25 до 74 година,Сва подручја,12.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Повезивање и инсталирање нових уређаја,25 до 74 година,Сва подручја,9.9
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Повезивање и инсталирање нових уређаја,25 до 74 година,Сва подручја,10.3
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Повезивање и инсталирање нових уређаја,25 до 74 година,Сва подручја,13.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Повезивање и инсталирање нових уређаја,25 до 74 година,Сва подручја,13.7
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,7.4
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,7.2
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,17.5
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,17.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,23.2
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,6.4
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,5.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,14.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,17.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,21.1
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,8.7
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,9.2
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,20.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,17.9
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Коришћење Интернет банкарства,25 до 74 година,Сва подручја,25.1
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,2.7
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,4.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,4.0
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,4.6
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,2.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,4.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,4.2
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,4.1
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,3.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,6.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,3.8
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у он - лине консултацијама или гласање за дефинисање грађанских или политичких питања,25 до 74 година,Сва подручја,5.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Писање рачунарског програма помоћу специјализованог програмског језика,25 до 74 година,Сва подручја,1.7
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Писање рачунарског програма помоћу специјализованог програмског језика,25 до 74 година,Сва подручја,1.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Писање рачунарског програма помоћу специјализованог програмског језика,25 до 74 година,Сва подручја,0.7
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Писање рачунарског програма помоћу специјализованог програмског језика,25 до 74 година,Сва подручја,0.6
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Писање рачунарског програма помоћу специјализованог програмског језика,25 до 74 година,Сва подручја,2.8
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Писање рачунарског програма помоћу специјализованог програмског језика,25 до 74 година,Сва подручја,2.1
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",25 до 74 година,Сва подручја,5.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",25 до 74 година,Сва подручја,7.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",25 до 74 година,Сва подручја,4.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",25 до 74 година,Сва подручја,5.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",25 до 74 година,Сва подручја,6.9
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Промјена подешавања приватности на вашем уређају, налогу или апликацији да бисте ограничили дјељење личних података и информација (нпр. име, контакт информације, фотографије)",25 до 74 година,Сва подручја,9.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",25 до 74 година,Сва подручја,6.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",25 до 74 година,Сва подручја,10.5
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",25 до 74 година,Сва подручја,5.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",25 до 74 година,Сва подручја,7.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",25 до 74 година,Сва подручја,7.0
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Подешавање ефикасних безбедносних мјера (нпр. јаке лозинке, обавјештење о покушају пријављивања) за заштиту уређаја и налога на мрежи",25 до 74 година,Сва подручја,13.1
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,63.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,65.8
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,65.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,63.0
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,66.8
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,65.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,66.4
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,65.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,63.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,66.8
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,62.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,64.9
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,66.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,62.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учествовање у друштвеним мрежама,25 до 74 година,Сва подручја,66.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,18.5
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,29.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,37.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,16.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,26.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,36.3
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,20.8
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,33.0
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Проналажење, преузимање, инсталирање и конфигурисање софтвера",25 до 74 година,Сва подручја,37.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,56.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,45.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,12.8
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,14.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,53.4
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,45.1
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,12.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,12.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,59.5
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,45.3
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,13.2
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Пренос датотека између рачунара и других уређаја,25 до 74 година,Сва подручја,16.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,43.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,11.3
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,23.3
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,39.5
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,10.0
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,23.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,48.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,13.1
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Учитавање садржаја који је креирао сам/корисник на веб локацију за дељење,25 до 74 година,Сва подручја,23.2
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,51.2
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,80.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,84.2
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,90.6
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,92.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,94.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,54.4
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,79.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,81.4
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,90.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Телефонирање преко Интернета / ВоИП,25 до 74 година,Сва подручја,93.1
